,HUMIDITY,LIGHT_INTENSITY,LPG_CONCENTRATION,TEMPERATURE,MOTOR,SMOKE,BATTERY_VOLTAGE,CARBON_MONOXIDE,TIMESTAMP
101,{'S': '49.1257'},{'S': '30.4406'},{'S': '0'},{'S': '36.8335'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.1585'},{'S': '0'},"{'S': '05/15/2023, 17:24:25'}"
102,{'S': '48.646'},{'S': '33.0197'},{'S': '-11136'},{'S': '37.2347'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.3684'},{'S': '-1'},"{'S': '05/15/2023, 16:48:22'}"
103,{'S': '52.8094'},{'S': '8231.86'},{'S': '0'},{'S': '36.2289'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.5596'},{'S': '0'},"{'S': '05/15/2023, 15:09:16'}"
104,{'S': '49.2951'},{'S': '31.2578'},{'S': '0'},{'S': '36.812'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.1776'},{'S': '0'},"{'S': '05/15/2023, 17:19:29'}"
105,{'S': '50.2754'},{'S': '42.5463'},{'S': '0'},{'S': '36.689'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.2623'},{'S': '0'},"{'S': '05/15/2023, 16:37:23'}"
106,{'S': '49.2482'},{'S': '21.1713'},{'S': '0'},{'S': '36.8656'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.1547'},{'S': '0'},"{'S': '05/15/2023, 17:21:57'}"
107,{'S': '52.5982'},{'S': '110.712'},{'S': '0'},{'S': '36.4108'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.5625'},{'S': '0'},"{'S': '05/15/2023, 15:11:22'}"
108,{'S': '49.3004'},{'S': '30.8159'},{'S': '0'},{'S': '36.9672'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.3024'},{'S': '0'},"{'S': '05/15/2023, 16:43:05'}"
109,{'S': '49.376'},{'S': '27.4697'},{'S': '0'},{'S': '12'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.5005'},{'S': '0'},"{'S': '05/15/2023, 15:19:05'}"
110,{'S': '50.1633'},{'S': '31.9297'},{'S': '0'},{'S': '36.261'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.5039'},{'S': '0'},"{'S': '05/15/2023, 15:35:55'}"
111,{'S': '49.0501'},{'S': '22.9802'},{'S': '540'},{'S': '37.2026'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.3526'},{'S': '8917'},"{'S': '05/15/2023, 16:47:15'}"
112,{'S': '53.1979'},{'S': '42.3251'},{'S': '0'},{'S': '36.1326'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.5147'},{'S': '0'},"{'S': '05/15/2023, 15:06:56'}"
113,{'S': '52.4601'},{'S': '1301.11'},{'S': '0'},{'S': '36.459'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.5594'},{'S': '0'},"{'S': '05/15/2023, 15:11:59'}"
114,{'S': '52.2932'},{'S': '172.379'},{'S': '0'},{'S': '-10.464'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.5556'},{'S': '0'},"{'S': '05/15/2023, 15:12:51'}"
115,{'S': '49.0188'},{'S': '32.3995'},{'S': '0'},{'S': '36.8869'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.1625'},{'S': '0'},"{'S': '05/15/2023, 17:24:40'}"
116,{'S': '50.0225'},{'S': '31.1677'},{'S': '0'},{'S': '36.4055'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.516'},{'S': '0'},"{'S': '05/15/2023, 15:36:18'}"
117,{'S': '49.3186'},{'S': '31.2127'},{'S': '0'},{'S': '36.8923'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.1769'},{'S': '0'},"{'S': '05/15/2023, 17:19:22'}"
118,{'S': '50.437'},{'S': '22.7605'},{'S': '0'},{'S': '36.1701'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.4396'},{'S': '0'},"{'S': '05/15/2023, 15:34:56'}"
119,{'S': '52.6608'},{'S': '8231.86'},{'S': '0'},{'S': '36.3092'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.5531'},{'S': '0'},"{'S': '05/15/2023, 15:09:31'}"
120,{'S': '50.2493'},{'S': '5.98672'},{'S': '0'},{'S': '36.6569'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.4967'},{'S': '0'},"{'S': '05/15/2023, 15:39:00'}"
121,{'S': '52.5696'},{'S': '38.3667'},{'S': '0'},{'S': '36.261'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.605'},{'S': '0'},"{'S': '05/15/2023, 15:01:15'}"
122,{'S': '49.2639'},{'S': '30.1197'},{'S': '0'},{'S': '36.8816'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.1636'},{'S': '0'},"{'S': '05/15/2023, 17:21:43'}"
123,{'S': '49.2352'},{'S': '30.9398'},{'S': '0'},{'S': '36.8976'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.1684'},{'S': '0'},"{'S': '05/15/2023, 17:20:51'}"
124,{'S': '52.6426'},{'S': '109.774'},{'S': '0'},{'S': '36.2878'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.5601'},{'S': '0'},"{'S': '05/15/2023, 15:10:30'}"
125,{'S': '50.1529'},{'S': '30.6055'},{'S': '0'},{'S': '36.2396'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.4884'},{'S': '0'},"{'S': '05/15/2023, 15:35:41'}"
126,{'N': '0'},{'N': '0'},{'N': '0'},{'S': '12'},{'N': '0'},{'N': '0'},{'N': '0'},{'N': '0'},"{'S': '05/09/2023, 21:39:59'}"
127,{'S': '49.608'},{'S': '24.6827'},{'S': '0'},{'S': '36.5927'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.5382'},{'S': '0'},"{'S': '05/15/2023, 15:38:31'}"
128,{'S': '49.3629'},{'S': '23.3976'},{'S': '0'},{'S': '36.8869'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.1852'},{'S': '0'},"{'S': '05/15/2023, 17:17:24'}"
129,{'S': '50.1867'},{'S': '14.1124'},{'S': '0'},{'S': '36.796'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.4641'},{'S': '0'},"{'S': '05/15/2023, 15:40:50'}"
130,{'S': '50.145'},{'S': '18.2276'},{'S': '0'},{'S': '36.8656'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.457'},{'S': '0'},"{'S': '05/15/2023, 15:42:44'}"
131,{'S': '49.3655'},{'S': '27.7511'},{'S': '0'},{'S': '12'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.4813'},{'S': '0'},"{'S': '05/15/2023, 15:25:46'}"
132,{'S': '50.9428'},{'S': '7.40676'},{'S': '0'},{'S': '36.3092'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.3921'},{'S': '0'},"{'S': '05/15/2023, 15:33:57'}"
133,{'S': '49.4437'},{'S': '31.8829'},{'S': '0'},{'S': '36.6837'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.4985'},{'S': '0'},"{'S': '05/15/2023, 15:23:13'}"
134,{'S': '49.2847'},{'S': '19.5707'},{'S': '0'},{'S': '37.0367'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.3337'},{'S': '0'},"{'S': '05/15/2023, 16:39:52'}"
135,{'N': '0'},{'N': '0'},{'N': '0'},{'S': '12'},{'N': '0'},{'N': '0'},{'N': '0'},{'N': '0'},"{'S': '05/09/2023, 21:35:41'}"
136,{'S': '50.3484'},{'S': '42.2342'},{'S': '0'},{'S': '36.673'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.2587'},{'S': '0'},"{'S': '05/15/2023, 16:37:16'}"
137,{'S': '45'},{'S': '987'},{'S': '0'},{'S': '32'},{'S': '0'},{'S': '2'},{'S': '11.9'},{'S': '0'},"{'S': '05/11/2023, 01:05:14'}"
138,{'S': '49.1987'},{'S': '31.2262'},{'S': '0'},{'S': '36.8869'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.1676'},{'S': '0'},"{'S': '05/15/2023, 17:21:13'}"
139,{'S': '52.7521'},{'S': '88275.3'},{'S': '0'},{'S': '36.3466'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.5517'},{'S': '0'},"{'S': '05/15/2023, 15:09:46'}"
140,{'S': '52.7312'},{'S': '41.7845'},{'S': '0'},{'S': '36.1968'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.5613'},{'S': '0'},"{'S': '05/15/2023, 15:08:54'}"
141,{'S': '49.2951'},{'S': '30.8115'},{'S': '0'},{'S': '36.8869'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.1639'},{'S': '0'},"{'S': '05/15/2023, 17:20:58'}"
142,{'S': '52.7807'},{'S': '8046.92'},{'S': '0'},{'S': '36.2931'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.5459'},{'S': '0'},"{'S': '05/15/2023, 15:09:24'}"
143,{'S': '49.8869'},{'S': '22.0527'},{'S': '0'},{'S': '36.4429'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.519'},{'S': '0'},"{'S': '05/15/2023, 15:36:55'}"
144,{'S': '50.2232'},{'S': '53.4304'},{'S': '0'},{'S': '36.8067'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.2792'},{'S': '0'},"{'S': '05/15/2023, 16:37:53'}"
145,{'S': '49.4125'},{'S': '27.1577'},{'S': '0'},{'S': '36.9672'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.1868'},{'S': '0'},"{'S': '05/15/2023, 17:17:18'}"
146,{'S': '52.9919'},{'S': '43.0727'},{'S': '0'},{'S': '36.1701'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.5392'},{'S': '0'},"{'S': '05/15/2023, 15:07:33'}"
147,{'S': '50.1346'},{'S': '20.9187'},{'S': '0'},{'S': '36.8335'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.4652'},{'S': '0'},"{'S': '05/15/2023, 15:41:34'}"
148,{'S': '49.6158'},{'S': '4.92183'},{'S': '0'},{'S': '12'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.4999'},{'S': '0'},"{'S': '05/15/2023, 15:19:28'}"
149,{'S': '52.5852'},{'S': '107.114'},{'S': '0'},{'S': '36.368'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.5535'},{'S': '0'},"{'S': '05/15/2023, 15:10:40'}"
150,{'S': '50.278'},{'S': '30.6142'},{'S': '0'},{'S': '36.3466'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.4922'},{'S': '0'},"{'S': '05/15/2023, 15:35:48'}"
151,{'S': '50.1711'},{'S': '30.9176'},{'S': '0'},{'S': '36.3038'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.5036'},{'S': '0'},"{'S': '05/15/2023, 15:36:10'}"
152,{'S': '52.3454'},{'S': '142.034'},{'S': '0'},{'S': '36.4857'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.5516'},{'S': '0'},"{'S': '05/15/2023, 15:12:44'}"
153,{'S': '49.7592'},{'S': '26.2603'},{'S': '-1'},{'S': '36.4804'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.525'},{'S': '0'},"{'S': '05/15/2023, 15:37:24'}"
154,{'S': '49.1257'},{'S': '26.4934'},{'S': '0'},{'S': '36.8442'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.1541'},{'S': '0'},"{'S': '05/15/2023, 17:24:18'}"
155,{'S': '49.9756'},{'S': '20.3268'},{'S': '0'},{'S': '36.9939'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.3182'},{'S': '0'},"{'S': '05/15/2023, 16:39:15'}"
156,{'S': '49.9756'},{'S': '20.0404'},{'S': '0'},{'S': '36.9993'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.3182'},{'S': '0'},"{'S': '05/15/2023, 16:39:15'}"
157,{'S': '49.0292'},{'S': '21.3089'},{'S': '-1'},{'S': '37.2026'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.353'},{'S': '-1'},"{'S': '05/15/2023, 16:46:46'}"
158,{'S': '52.6478'},{'S': '41.2193'},{'S': '0'},{'S': '36.2771'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.5635'},{'S': '0'},"{'S': '05/15/2023, 15:09:09'}"
159,{'S': '50.2441'},{'S': '20.9347'},{'S': '0'},{'S': '36.8656'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.4558'},{'S': '0'},"{'S': '05/15/2023, 15:41:19'}"
160,{'S': '48.9406'},{'S': '33.1392'},{'S': '0'},{'S': '36.8709'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.1593'},{'S': '0'},"{'S': '05/15/2023, 17:25:10'}"
161,{'S': '50.1998'},{'S': '30.5228'},{'S': '0'},{'S': '36.2985'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.484'},{'S': '0'},"{'S': '05/15/2023, 15:35:33'}"
162,{'S': '50.2623'},{'S': '17.4912'},{'S': '0'},{'S': '36.8335'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.4668'},{'S': '0'},"{'S': '05/15/2023, 15:40:57'}"
163,{'S': '49.0449'},{'S': '21.9734'},{'S': '0'},{'S': '37.1598'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.3508'},{'S': '0'},"{'S': '05/15/2023, 16:46:09'}"
164,{'S': '49.4437'},{'S': '24.5029'},{'S': '0'},{'S': '36.5767'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.54'},{'S': '1'},"{'S': '05/15/2023, 15:38:16'}"
165,{'S': '49.1883'},{'S': '19.0323'},{'S': '0'},{'S': '36.7425'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.1559'},{'S': '0'},"{'S': '05/15/2023, 17:22:34'}"
166,{'S': '49.2248'},{'S': '19.0904'},{'S': '0'},{'S': '36.9672'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.3393'},{'S': '0'},"{'S': '05/15/2023, 16:40:17'}"
167,{'S': '49.1413'},{'S': '19.4037'},{'S': '-1'},{'S': '37.0528'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.3202'},{'S': '-1'},"{'S': '05/15/2023, 16:41:41'}"
168,{'S': '52.4549'},{'S': '117.988'},{'S': '0'},{'S': '36.4001'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.5612'},{'S': '0'},"{'S': '05/15/2023, 15:11:37'}"
169,{'S': '49.3082'},{'S': '30.8424'},{'S': '0'},{'S': '36.9351'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.1864'},{'S': '0'},"{'S': '05/15/2023, 17:18:15'}"
170,{'S': '49.2586'},{'S': '31.476'},{'S': '0'},{'S': '36.8174'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.1751'},{'S': '0'},"{'S': '05/15/2023, 17:20:14'}"
171,{'S': '49.7696'},{'S': '21.8847'},{'S': '0'},{'S': '36.4322'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.5307'},{'S': '0'},"{'S': '05/15/2023, 15:37:02'}"
172,{'S': '49.1518'},{'S': '19.765'},{'S': '0'},{'S': '36.8388'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.1486'},{'S': '0'},"{'S': '05/15/2023, 17:23:19'}"
173,{'S': '52.9372'},{'S': '42.8158'},{'S': '0'},{'S': '36.1861'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.5394'},{'S': '0'},"{'S': '05/15/2023, 15:07:55'}"
174,{'S': '49.2195'},{'S': '18.8103'},{'S': '0'},{'S': '37.0367'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.3419'},{'S': '0'},"{'S': '05/15/2023, 16:40:27'}"
175,{'S': '50.3562'},{'S': '41.8663'},{'S': '0'},{'S': '36.6623'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.2561'},{'S': '0'},"{'S': '05/15/2023, 16:37:08'}"
176,{'N': '0'},{'N': '0'},{'N': '0'},{'S': '23'},{'N': '0'},{'N': '0'},{'N': '0'},{'N': '0'},"{'S': '05/07/2023, 23:51:06'}"
177,{'S': '49.4098'},{'S': '21.1782'},{'S': '12'},{'S': '37.0314'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.3341'},{'S': '114'},"{'S': '05/15/2023, 16:44:41'}"
178,{'S': '49.535'},{'S': '20.8079'},{'S': '29'},{'S': '37.1116'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.3334'},{'S': '114'},"{'S': '05/15/2023, 16:44:41'}"
179,{'S': '49.3369'},{'S': '26.1101'},{'S': '8'},{'S': '37.117'},{'S': '1'},{'S': 'sensor_char7'},{'S': '12.3354'},{'S': '152'},"{'S': '05/15/2023, 16:44:41'}"
180,{'S': '49.3316'},{'S': '31.8129'},{'S': '0'},{'S': '36.582'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.4939'},{'S': '0'},"{'S': '05/15/2023, 15:23:06'}"
181,{'S': '49.097'},{'S': '31.6599'},{'S': '0'},{'S': '36.8602'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.1609'},{'S': '0'},"{'S': '05/15/2023, 17:24:33'}"
182,{'S': '49.1856'},{'S': '26.7613'},{'S': '0'},{'S': '36.8602'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.1487'},{'S': '0'},"{'S': '05/15/2023, 17:21:50'}"
183,{'S': '52.3584'},{'S': '38.9584'},{'S': '0'},{'S': '36.2075'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.605'},{'S': '0'},"{'S': '05/15/2023, 15:01:22'}"
184,{'S': '49.2195'},{'S': '19.2332'},{'S': '0'},{'S': '36.8442'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.1519'},{'S': '0'},"{'S': '05/15/2023, 17:22:49'}"
185,{'S': '49.3316'},{'S': '31.4121'},{'S': '0'},{'S': '36.9244'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.179'},{'S': '0'},"{'S': '05/15/2023, 17:19:07'}"
186,{'S': '49.2665'},{'S': '19.5545'},{'S': '0'},{'S': '36.8442'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.1538'},{'S': '0'},"{'S': '05/15/2023, 17:22:42'}"
187,{'S': '52.9137'},{'S': '37.6283'},{'S': '0'},{'S': '36.2182'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.5456'},{'S': '0'},"{'S': '05/15/2023, 15:08:17'}"
188,{'S': '50.1998'},{'S': '18.8141'},{'S': '0'},{'S': '36.673'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.4902'},{'S': '0'},"{'S': '05/15/2023, 15:39:08'}"
189,{'S': '50.2206'},{'S': '19.8042'},{'S': '0'},{'S': '36.6944'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.4891'},{'S': '0'},"{'S': '05/15/2023, 15:39:15'}"
190,{'S': '49.3082'},{'S': '29.2229'},{'S': '0'},{'S': '36.919'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.1743'},{'S': '0'},"{'S': '05/15/2023, 17:17:46'}"
191,{'S': '50.1164'},{'S': '18.0956'},{'S': '0'},{'S': '36.8335'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.4532'},{'S': '0'},"{'S': '05/15/2023, 15:42:36'}"
192,{'S': '48.805'},{'S': '35.8362'},{'S': '-1'},{'S': '37.2186'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.3651'},{'S': '-1'},"{'S': '05/15/2023, 16:47:52'}"
193,{'S': '48.7659'},{'S': '26.0505'},{'S': '-1'},{'S': '37.2026'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.3587'},{'S': '-1'},"{'S': '05/15/2023, 16:47:30'}"
194,{'S': '49.1856'},{'S': '19.2647'},{'S': '-1'},{'S': '37.0474'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.3216'},{'S': '-1'},"{'S': '05/15/2023, 16:41:30'}"
195,{'S': '49.1883'},{'S': '19.1919'},{'S': '27624'},{'S': '37.0635'},{'S': '1'},{'S': 'sensor_char7'},{'S': '12.3216'},{'S': '-1'},"{'S': '05/15/2023, 16:41:30'}"
196,{'S': '49.2717'},{'S': '16.3094'},{'S': '0'},{'S': '37.1865'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.3532'},{'S': '0'},"{'S': '05/15/2023, 16:46:53'}"
197,{'S': '52.8172'},{'S': '42.2418'},{'S': '0'},{'S': '36.1273'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.554'},{'S': '0'},"{'S': '05/15/2023, 15:08:10'}"
198,{'S': '50.205'},{'S': '20.4464'},{'S': '0'},{'S': '36.8067'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.4651'},{'S': '0'},"{'S': '05/15/2023, 15:41:04'}"
199,{'S': '49.1126'},{'S': '20.1806'},{'S': '0'},{'S': '36.8442'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.1499'},{'S': '0'},"{'S': '05/15/2023, 17:23:41'}"
200,{'S': '49.303'},{'S': '30.8203'},{'S': '0'},{'S': '36.9137'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.1688'},{'S': '0'},"{'S': '05/15/2023, 17:20:43'}"
201,{'S': '49.3056'},{'S': '31.7664'},{'S': '0'},{'S': '36.9244'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.1761'},{'S': '0'},"{'S': '05/15/2023, 17:19:52'}"
202,{'S': '48.9979'},{'S': '18.5132'},{'S': '0'},{'S': '37.0581'},{'S': '1'},{'S': 'sensor_char7'},{'S': '12.3369'},{'S': '0'},"{'S': '05/15/2023, 16:40:51'}"
