TIMESTAMP,TEMPERATURE,HUMIDITY,BATTERY_VOLTAGE,CARBON_MONOXIDE,LIGHT_INTENSITY,LPG_CONCENTRATION,MOTOR,SMOKE
19:33:07,22,20,0,0,0,0,0,0
19:38:10,22,20,0,0,0,0,0,0
19:43:11,22,26,,,,,,
19:48:14,22,26,,,,,,
19:53:15,22,20,,,,,,
19:58:15,22,23,,,,,,
20:03:16,22,20,,,,,,
20:08:17,22,23,,,,,,
20:13:17,21,20,,,,,,
20:18:18,21,21,,,,,,
20:23:19,21,20,,,,,,
20:28:19,21,20,,,,,,
20:33:20,21,20,,,,,,
20:38:20,21,20,,,,,,
20:43:21,21,20,,,,,,
20:48:22,21,20,,,,,,
20:53:22,21,21,,,,,,
20:58:25,21,26,,,,,,
21:03:26,21,20,,,,,,
21:08:29,21,21,,,,,,
21:13:30,21,20,,,,,,
21:18:30,21,21,,,,,,
21:23:31,21,22,,,,,,
21:28:31,21,20,,,,,,
21:33:32,20,21,,,,,,
21:38:33,21,20,,,,,,
21:43:33,20,21,,,,,,
21:48:34,20,21,,,,,,
21:53:35,20,21,,,,,,
21:58:35,20,21,,,,,,
22:03:36,20,21,,,,,,
22:08:36,20,21,,,,,,
22:13:40,20,21,,,,,,
22:18:40,20,21,,,,,,
22:23:41,20,27,,,,,,
22:28:42,21,20,,,,,,
22:33:42,20,27,,,,,,
22:38:43,20,22,,,,,,
22:43:43,20,27,,,,,,
22:48:44,20,22,,,,,,
22:53:45,20,22,,,,,,
22:58:45,20,21,,,,,,
23:03:46,20,21,,,,,,
23:08:46,22,23,,,,,,
23:38:29,19,24,,,,,,
23:43:29,19,21,,,,,,
23:48:40,19,22,,,,,,
23:53:41,9,140,,,,,,
23:58:41,19,21,,,,,,
0:03:47,19,33,,,,,,
0:08:50,19,22,,,,,,
0:13:53,19,21,,,,,,
0:18:54,20,23,,,,,,
0:23:57,19,21,,,,,,
0:28:58,19,21,,,,,,
0:33:58,18,24,,,,,,
0:38:59,19,25,,,,,,
0:43:59,19,21,,,,,,
0:49:00,17,22,,,,,,
0:54:01,19,21,,,,,,
0:59:01,19,24,,,,,,
1:04:04,18,22,,,,,,
1:09:07,18,22,,,,,,
1:14:08,18,22,,,,,,
1:19:09,18,22,,,,,,
1:24:09,18,22,,,,,,
1:29:12,18,28,,,,,,
1:34:13,18,22,,,,,,
1:39:14,18,23,,,,,,
1:44:17,18,28,,,,,,
1:49:17,18,22,,,,,,
1:54:18,18,22,,,,,,
1:59:23,18,22,,,,,,
2:04:24,18,24,,,,,,
2:09:25,18,22,,,,,,
2:14:25,18,22,,,,,,
2:19:28,18,22,,,,,,
2:24:34,17,23,,,,,,
2:29:35,17,28,,,,,,
2:34:35,18,22,,,,,,
2:39:36,17,28,,,,,,
2:44:36,18,22,,,,,,
2:49:39,17,28,,,,,,
2:54:40,17,22,,,,,,
2:59:41,17,28,,,,,,
3:04:41,17,28,,,,,,
3:09:42,17,25,,,,,,
3:14:42,17,22,,,,,,
3:19:43,17,22,,,,,,
3:24:46,17,22,,,,,,
3:29:47,17,28,,,,,,
3:34:47,17,22,,,,,,
3:39:48,17,22,,,,,,
3:44:51,17,22,,,,,,
3:49:52,17,22,,,,,,
3:54:52,17,22,,,,,,
3:59:53,17,27,,,,,,
4:04:53,17,22,,,,,,
4:09:54,16,26,,,,,,
4:14:55,17,23,,,,,,
4:19:55,15,23,,,,,,
4:24:56,16,29,,,,,,
4:29:56,16,26,,,,,,
4:35:00,16,27,,,,,,
4:40:00,16,23,,,,,,
4:45:01,16,29,,,,,,
4:50:04,17,22,,,,,,
4:55:04,16,24,,,,,,
5:00:08,16,23,,,,,,
5:05:08,16,30,,,,,,
5:10:09,16,23,,,,,,
5:15:09,16,25,,,,,,
5:20:10,16,23,,,,,,
5:25:11,16,24,,,,,,
5:30:11,16,23,,,,,,
5:35:12,16,23,,,,,,
5:40:12,16,24,,,,,,
5:45:13,16,23,,,,,,
5:50:14,16,24,,,,,,
5:55:19,16,24,,,,,,
6:00:22,15,26,,,,,,
6:05:23,16,24,,,,,,
6:10:24,16,37,,,,,,
6:15:24,15,30,,,,,,
6:20:27,15,28,,,,,,
6:25:28,15,24,,,,,,
6:30:29,15,26,,,,,,
6:35:29,15,24,,,,,,
6:40:30,15,30,,,,,,
6:45:30,15,24,,,,,,
6:50:33,15,26,,,,,,
6:55:36,16,24,,,,,,
7:00:37,15,25,,,,,,
7:05:43,16,26,,,,,,
7:10:43,16,27,,,,,,
7:15:46,16,26,,,,,,
7:20:47,17,23,,,,,,
7:25:48,19,21,,,,,,
7:30:48,19,27,,,,,,
7:35:49,22,20,,,,,,
7:40:49,26,19,,,,,,
7:45:50,27,17,,,,,,
7:50:50,28,17,,,,,,
7:55:51,30,16,,,,,,
8:00:51,30,16,,,,,,
8:05:52,30,16,,,,,,
8:10:53,31,15,,,,,,
8:15:53,32,15,,,,,,
8:20:54,33,15,,,,,,
8:25:54,34,14,,,,,,
8:30:55,34,15,,,,,,
8:35:56,34,14,,,,,,
8:40:56,35,13,,,,,,
8:45:57,36,13,,,,,,
8:50:57,36,13,,,,,,
8:55:58,31,15,,,,,,
9:00:59,35,13,,,,,,
9:05:59,37,12,,,,,,
9:11:02,35,14,,,,,,
9:16:03,35,13,,,,,,
9:21:03,34,18,,,,,,
9:26:04,31,15,,,,,,
9:31:05,32,15,,,,,,
9:36:05,32,15,,,,,,
9:41:06,31,15,,,,,,
9:46:09,30,16,,,,,,
9:51:10,30,16,,,,,,
9:56:10,31,18,,,,,,
10:01:13,29,16,,,,,,
10:06:14,29,19,,,,,,
10:11:20,35,13,,,,,,
10:16:20,34,14,,,,,,
10:21:23,30,16,,,,,,
10:26:24,30,22,,,,,,
10:31:27,34,14,,,,,,
10:36:28,34,14,,,,,,
10:41:31,30,16,,,,,,
10:46:31,30,16,,,,,,
10:51:32,28,17,,,,,,
10:56:33,30,19,,,,,,
11:01:36,33,17,,,,,,
11:06:36,33,14,,,,,,
11:11:37,35,16,,,,,,
11:16:40,35,13,,,,,,
11:21:43,30,16,,,,,,
11:26:44,30,21,,,,,,
11:31:47,27,17,,,,,,
11:36:47,27,17,,,,,,
11:41:50,25,18,,,,,,
11:46:51,25,18,,,,,,
11:51:54,23,19,,,,,,
11:56:55,23,19,,,,,,
12:01:55,23,22,,,,,,
12:06:56,22,20,,,,,,
12:11:57,22,20,,,,,,
12:17:00,23,19,,,,,,
12:22:00,23,22,,,,,,
12:27:01,24,19,,,,,,
12:32:02,24,19,,,,,,
12:37:02,23,19,,,,,,
12:42:05,22,20,,,,,,
12:47:06,22,20,,,,,,
12:52:07,22,23,,,,,,
12:57:07,22,20,,,,,,
13:02:08,24,19,,,,,,
13:07:09,24,19,,,,,,
13:23:28,23,25,,,,,,
13:28:28,23,21,,,,,,
13:33:29,23,24,,,,,,
13:38:30,23,19,,,,,,
13:43:30,23,19,,,,,,
13:48:31,23,19,,,,,,
15:12:32,22,20,,,,,,
15:17:32,24,19,,,,,,
15:22:33,23,24,,,,,,
15:27:34,22,20,,,,,,
15:32:34,23,19,,,,,,
15:37:35,23,19,,,,,,
15:42:36,23,19,,,,,,
15:47:36,23,19,,,,,,
15:52:37,23,19,,,,,,
15:57:37,24,19,,,,,,
16:02:38,24,19,,,,,,
16:07:39,23,19,,,,,,
16:12:42,21,20,,,,,,
16:17:45,22,26,,,,,,
16:22:46,22,21,,,,,,
16:27:46,23,19,,,,,,
16:32:47,23,19,,,,,,
16:37:47,23,19,,,,,,
16:42:48,23,19,,,,,,
16:47:49,23,19,,,,,,
16:52:49,22,26,,,,,,
16:57:52,22,20,,,,,,
17:02:53,22,23,,,,,,
17:07:54,22,20,,,,,,
17:12:54,22,20,,,,,,
17:17:55,23,25,,,,,,
17:22:56,22,24,,,,,,
17:27:56,22,20,,,,,,
17:32:57,21,24,,,,,,
17:37:57,22,20,,,,,,
17:42:58,22,26,,,,,,
17:47:59,22,20,,,,,,
17:52:59,22,22,,,,,,
17:58:00,21,20,,,,,,
18:03:00,21,20,,,,,,
18:08:01,21,20,,,,,,
18:13:02,22,20,,,,,,
18:18:02,21,20,,,,,,
18:23:03,21,22,,,,,,
18:28:03,21,20,,,,,,
18:33:04,20,21,,,,,,
18:38:05,21,20,,,,,,
18:43:05,21,26,,,,,,
18:48:06,21,20,,,,,,
18:53:07,20,26,,,,,,
18:58:07,20,21,,,,,,
19:03:08,21,26,,,,,,
19:08:08,20,21,,,,,,
19:13:09,20,25,,,,,,
19:18:10,20,21,,,,,,
19:23:10,19,21,,,,,,
19:28:11,20,21,,,,,,
19:33:12,19,21,,,,,,
19:38:12,19,21,,,,,,
19:43:13,20,21,,,,,,
19:48:13,19,21,,,,,,
19:53:14,21,20,,,,,,
19:58:15,21,20,,,,,,
20:03:15,21,20,,,,,,
20:08:16,21,22,,,,,,
20:13:16,21,23,,,,,,
20:18:17,21,20,,,,,,
20:23:18,21,26,,,,,,
20:28:18,21,20,,,,,,
20:33:19,21,26,,,,,,
20:38:19,21,20,,,,,,
20:43:20,21,23,,,,,,
20:48:21,19,21,,,,,,
20:53:21,20,21,,,,,,
20:58:22,20,21,,,,,,
21:03:22,20,21,,,,,,
21:08:23,19,27,,,,,,
21:13:24,19,24,,,,,,
21:18:27,18,33,,,,,,
21:23:28,19,23,,,,,,
21:28:31,19,24,,,,,,
21:33:31,19,21,,,,,,
21:38:32,19,21,,,,,,
21:43:33,18,22,,,,,,
21:48:36,19,21,,,,,,
21:53:36,19,21,,,,,,
21:58:37,19,27,,,,,,
22:03:37,19,21,,,,,,
22:08:38,19,27,,,,,,
22:13:39,19,21,,,,,,
22:18:39,19,27,,,,,,
22:23:40,19,21,,,,,,
22:28:41,19,27,,,,,,
22:33:41,19,21,,,,,,
22:38:42,19,21,,,,,,
22:43:43,19,21,,,,,,
22:48:43,19,21,,,,,,
22:53:44,19,21,,,,,,
22:58:44,18,22,,,,,,
23:03:45,17,22,,,,,,
23:08:46,18,22,,,,,,
23:13:46,18,24,,,,,,
23:18:47,18,28,,,,,,
23:23:47,18,22,,,,,,
23:28:48,18,28,,,,,,
23:33:49,18,22,,,,,,
23:38:49,18,28,,,,,,
23:43:50,18,22,,,,,,
23:48:51,18,28,,,,,,
23:53:51,18,22,,,,,,
23:58:52,18,22,,,,,,
0:03:52,18,22,,,,,,
0:08:53,18,22,,,,,,
